Crash ID,State,Month,Year,Dayweek,Time,Crash Type,Bus Involvement,Heavy Rigid Truck Involvement,Articulated Truck Involvement,Speed Limit,Road User,Gender,Age,Christmas Period,Easter Period,Age Group,Day of week,Time of day
20185138,WA,12,2018,Thursday,6:20,Single,No,No,No,110,Driver,Female,49,No,No,40_to_64,Weekday,Day
20183143,Qld,7,2018,Sunday,19:00,Multiple,No,No,No,60,Driver,Female,33,No,No,26_to_39,Weekend,Night
20071219,NSW,7,2007,Tuesday,11:58,Multiple,No,Yes,No,60,Pedestrian,Female,3,No,No,0_to_16,Weekday,Day
20091043,NSW,3,2009,Thursday,18:30,Multiple,No,No,No,60,Motorcycle rider,Male,31,No,No,26_to_39,Weekday,Night
20151018,NSW,5,2015,Sunday,3:25,Single,No,No,No,80,Pedestrian,Male,25,No,No,17_to_25,Weekend,Night
20051055,NSW,1,2005,Monday,16:25,Single,No,No,No,50,Pedestrian,Male,7,Yes,No,0_to_16,Weekday,Day
19942082,Vic,12,1994,Wednesday,2:30,Multiple,No,No,No,60,Passenger,Male,29,No,No,26_to_39,Weekday,Night
20153066,Qld,11,2015,Tuesday,11:00,Single,No,No,No,50,Motorcycle rider,Male,22,No,No,17_to_25,Weekday,Day
20081273,NSW,6,2008,Thursday,17:15,Multiple,No,No,No,60,Passenger,Female,51,No,No,40_to_64,Weekday,Day
20142047,Vic,5,2014,Thursday,18:43,Single,No,No,No,50,Pedestrian,Male,23,No,No,17_to_25,Weekday,Night
20091395,NSW,7,2009,Sunday,14:45,Single,No,No,No,60,Passenger,Female,3,No,No,0_to_16,Weekend,Day
20101175,NSW,10,2010,Thursday,16:08,Multiple,No,No,No,100,Passenger,Male,16,No,No,0_to_16,Weekday,Day
19942206,Vic,8,1994,Sunday,1:30,Multiple,No,No,No,80,Passenger,Male,37,No,No,26_to_39,Weekend,Night
20203020,Qld,9,2020,Wednesday,19:00,Single,No,No,No,100,Driver,Male,38,No,No,26_to_39,Weekday,Night
19892261,Vic,3,1989,Tuesday,9:50,Multiple,No,No,No,100,Passenger,Female,15,No,No,0_to_16,Weekday,Day
20173212,Qld,9,2017,Monday,15:00,Single,No,Yes,No,50,Pedestrian,Female,89,No,No,75_or_older,Weekday,Day
20081125,NSW,3,2008,Saturday,6:10,Single,No,No,No,100,Driver,Male,20,No,No,17_to_25,Weekend,Day
20041169,NSW,7,2004,Friday,15:10,Multiple,No,No,No,80,Driver,Male,83,No,No,75_or_older,Weekday,Day
20075084,WA,1,2007,Tuesday,9:15,Single,No,No,No,50,Motorcycle rider,Male,31,No,No,26_to_39,Weekday,Day
20123150,Qld,12,2012,Friday,23:00,Single,No,No,No,80,Pedal cyclist,Male,68,No,No,65_to_74,Weekend,Night
20161003,NSW,9,2016,Monday,10:30,Multiple,No,Yes,No,100,Passenger,Female,75,No,No,75_or_older,Weekday,Day
20132102,Vic,7,2013,Wednesday,17:55,Single,No,No,No,80,Pedestrian,Male,30,No,No,26_to_39,Weekday,Day
19892048,Vic,8,1989,Tuesday,9:35,Multiple,No,No,No,100,Passenger,Female,61,No,No,40_to_64,Weekday,Day
20103170,Qld,3,2010,Friday,22:00,Multiple,No,No,No,110,Motorcycle rider,Male,30,No,No,26_to_39,Weekend,Night
20143041,Qld,8,2014,Thursday,5:00,Multiple,No,No,No,100,Driver,Male,51,No,No,40_to_64,Weekday,Night
20201100,NSW,12,2020,Tuesday,14:00,Single,No,No,No,100,Passenger,Male,89,Yes,No,75_or_older,Weekday,Day
20154073,SA,12,2015,Wednesday,9:50,Multiple,No,No,Yes,110,Driver,Female,72,Yes,No,65_to_74,Weekday,Day
20141204,NSW,8,2014,Thursday,12:45,Single,No,No,No,100,Driver,Male,67,No,No,65_to_74,Weekday,Day
20172031,Vic,4,2017,Friday,14:00,Multiple,No,No,No,100,Driver,Male,26,No,No,26_to_39,Weekday,Day
20041031,NSW,12,2004,Sunday,12:30,Multiple,No,No,No,60,Motorcycle rider,Male,36,No,No,26_to_39,Weekend,Day
20081111,NSW,2,2008,Monday,16:50,Multiple,Yes,No,No,80,Driver,Female,24,No,No,17_to_25,Weekday,Day
20103008,Qld,12,2010,Wednesday,15:00,Single,No,No,No,100,Driver,Male,29,No,No,26_to_39,Weekday,Day
